ENCRIPTADO ENVIADO
168. 0x2E
169. 0x37
170. 0xD3
171. 0x11
172. 0x6F
173. 0x15
174. 0xBF
175. 0xAB
176. 0x6D
177. 0x05
178. 0xFE
179. 0x94
180. 0xE4
181. 0xE6
182. 0x37
183. 0x65
184. 0x2D
185. 0xC6
186. 0x4D
187. 0xF6
188. 0xEB
189. 0xC6
190. 0xA8
191. 0x8A
192. 0xC7
193. 0x26
194. 0x4A
195. 0xB9
196. 0x0A
197. 0xFD
198. 0x99
199. 0xB5
200. 0x18
201. 0xEA
202. 0xA1
203. 0xF4
204. 0x3D
205. 0xD5
206. 0x1E
207. 0x95
208. 0xF0
209. 0xD0
210. 0x59
211. 0xF7
212. 0xC2
213. 0xFF
214. 0x07
215. 0x1A
216. 0x61
217. 0x83
218. 0x58
219. 0xCA
220. 0x05
221. 0x68
222. 0x00
223. 0x1D
224. 0x3C
225. 0xC9
226. 0x65
227. 0x42
228. 0x32
229. 0x9B
230. 0x3C
231. 0x2F
232. 0x16
233. 0xAD
234. 0xBC
235. 0xD6
236. 0x1A
237. 0x16
238. 0x30
239. 0x14
240. 0xE5
241. 0xD9
242. 0x74
243. 0x30
244. 0x60
245. 0xA6
246. 0x7A
247. 0x76
248. 0x1D
249. 0xC1
250. 0x50
251. 0x60
252. 0xE8
253. 0xFA
254. 0xC8
255. 0xA1
cypher_len -> 256
O BYTE FUDIDO
b[255] -> 0xA1
começando...
sizeof(packet) -> 256
ENCRIPTADOS RECEBIDOS
0. 0x00
1. 0x06
2. 0xE8
3. 0x18
4. 0xB5
5. 0x59
6. 0x55
7. 0x6F
8. 0xBE
9. 0x27
10. 0x28
11. 0xE6
12. 0x88
13. 0x45
14. 0x01
15. 0xF4
16. 0x20
17. 0xE0
18. 0x55
19. 0xE0
20. 0x73
21. 0x01
22. 0x1D
23. 0xFC
24. 0xBE
25. 0x41
26. 0x1C
27. 0xBD
28. 0x73
29. 0xA2
30. 0xE9
31. 0xFC
32. 0x1B
33. 0x19
34. 0x92
35. 0xD6
36. 0x98
37. 0xAB
38. 0x91
39. 0x37
40. 0x76
41. 0x58
42. 0xBD
43. 0xFF
44. 0xAD
45. 0x57
46. 0xDC
47. 0xF0
48. 0x2E
49. 0x9E
50. 0x43
51. 0x8F
52. 0xC1
53. 0x31
54. 0x10
55. 0x19
56. 0x11
57. 0xF9
58. 0x0E
59. 0x22
60. 0x9E
61. 0xB2
62. 0x5E
63. 0xC0
64. 0x4D
65. 0xD9
66. 0x5D
67. 0x5F
68. 0x08
69. 0xB5
70. 0x21
71. 0xA3
72. 0x1A
73. 0x2C
74. 0x86
75. 0x72
76. 0x58
77. 0x20
78. 0x96
79. 0xDB
80. 0x04
81. 0xC0
82. 0x73
83. 0x3D
84. 0xF4
85. 0x4C
86. 0xCA
87. 0x1D
88. 0xDF
89. 0xCC
90. 0x20
91. 0x92
92. 0xFC
93. 0x0F
94. 0x0A
95. 0xCD
96. 0x29
97. 0xC9
98. 0x75
99. 0xA9
100. 0x6A
101. 0xA2
102. 0xBA
103. 0xBD
104. 0xB8
105. 0x38
106. 0x6F
107. 0x81
108. 0x42
109. 0x64
110. 0x9F
111. 0x6A
112. 0x62
113. 0x37
114. 0x79
115. 0x30
116. 0x6C
117. 0xE1
118. 0x8D
119. 0xF8
120. 0x48
121. 0x57
122. 0xB5
123. 0xDA
124. 0x7C
125. 0x22
126. 0x84
127. 0x02
128. 0x8D
129. 0x09
130. 0x55
131. 0x78
132. 0x87
133. 0x27
134. 0x16
135. 0x7B
136. 0xC8
137. 0x9A
138. 0x71
139. 0xF9
140. 0x55
141. 0xB6
142. 0xE4
143. 0xE1
144. 0xB3
145. 0x50
146. 0x5F
147. 0x63
148. 0xFD
149. 0xAF
150. 0xE3
151. 0xE4
152. 0x5A
153. 0x36
154. 0x37
155. 0xE7
156. 0x87
157. 0x21
158. 0xF0
159. 0x7B
160. 0x1F
161. 0x5C
162. 0x90
163. 0x00
164. 0x79
165. 0x65
166. 0xEA
167. 0x0B
168. 0x2E
169. 0x37
170. 0xD3
171. 0x11
172. 0x6F
173. 0x15
174. 0xBF
175. 0xAB
176. 0x6D
177. 0x05
178. 0xFE
179. 0x94
180. 0xE4
181. 0xE6
182. 0x37
183. 0x65
184. 0x2D
185. 0xC6
186. 0x4D
187. 0xF6
188. 0xEB
189. 0xC6
190. 0xA8
191. 0x8A
192. 0xC7
193. 0x26
194. 0x4A
195. 0xB9
196. 0x0A
197. 0xFD
198. 0x99
199. 0xB5
200. 0x18
201. 0xEA
202. 0xA1
203. 0xF4
204. 0x3D
205. 0xD5
206. 0x1E
207. 0x95
208. 0xF0
209. 0xD0
210. 0x59
211. 0xF7
212. 0xC2
213. 0xFF
214. 0x07
215. 0x1A
216. 0x61
217. 0x83
218. 0x58
219. 0xCA
220. 0x05
221. 0x68
222. 0x00
223. 0x1D
224. 0x3C
225. 0xC9
226. 0x65
227. 0x42
228. 0x32
229. 0x9B
230. 0x3C
231. 0x2F
232. 0x16
233. 0xAD
234. 0xBC
235. 0xD6
236. 0x1A
237. 0x16
238. 0x30
239. 0x14
240. 0xE5
241. 0xD9
242. 0x74
243. 0x30
244. 0x60
245. 0xA6
246. 0x7A
247. 0x76
248. 0x1D
249. 0xC1
250. 0x50
251. 0x60
252. 0xE8
253. 0xFA
254. 0xC8
255. 0xA1
terminando...
